target_idx,x_tgt,y_tgt,repeat,t1_cmd,t2_cmd,t3_cmd,t1_fb,t2_fb,t3_fb,x_meas,y_meas,dx,dy,dist
0,0.0,60.0,1,30.7471,16.2346,16.2346,28.9995,16.2114,16.3323,0.413,52.271,-0.413,7.729,7.74
0,0.0,60.0,2,30.7471,16.2346,16.2346,28.9775,16.207,16.3103,0.353,52.226,-0.353,7.774,7.782
0,0.0,60.0,3,30.7471,16.2346,16.2346,29.0017,16.2048,16.3059,0.345,52.342,-0.345,7.658,7.666
0,0.0,60.0,4,30.7471,16.2346,16.2346,29.0479,16.1895,16.3279,0.473,52.529,-0.473,7.471,7.486
0,0.0,60.0,5,30.7471,16.2346,16.2346,28.9797,16.1982,16.3125,0.391,52.247,-0.391,7.753,7.763
0,0.0,60.0,6,30.7471,16.2346,16.2346,29.0347,16.1917,16.3213,0.443,52.48,-0.443,7.52,7.533
1,-60.0,0.0,1,21.2425,29.5233,12.5043,21.2498,28.4238,12.887,-54.649,1.651,-5.351,-1.651,5.6
1,-60.0,0.0,2,21.2425,29.5233,12.5043,21.252,28.4194,12.8826,-54.647,1.677,-5.353,-1.677,5.61
1,-60.0,0.0,3,21.2425,29.5233,12.5043,21.2278,28.4304,12.8716,-54.722,1.577,-5.278,-1.577,5.509
1,-60.0,0.0,4,21.2425,29.5233,12.5043,21.2651,28.4304,12.8716,-54.724,1.729,-5.276,-1.729,5.552
1,-60.0,0.0,5,21.2425,29.5233,12.5043,21.2168,28.3799,12.9067,-54.419,1.572,-5.581,-1.572,5.799
1,-60.0,0.0,6,21.2425,29.5233,12.5043,21.2278,28.3733,12.9089,-54.388,1.627,-5.612,-1.627,5.843
2,-60.0,-60.0,1,12.4651,35.3037,18.9312,12.8167,30.5134,18.9734,-41.545,-48.199,-18.455,-11.801,21.905
2,-60.0,-60.0,2,12.4651,35.3037,18.9312,12.8057,30.5706,18.9734,-41.759,-48.365,-18.241,-11.635,21.635
2,-60.0,-60.0,3,12.4651,35.3037,18.9312,12.8232,30.5068,18.9734,-41.521,-48.16,-18.479,-11.84,21.947
2,-60.0,-60.0,4,12.4651,35.3037,18.9312,12.7947,30.6453,18.9778,-42.025,-48.578,-17.975,-11.422,21.297
2,-60.0,-60.0,5,12.4651,35.3037,18.9312,12.8254,30.5903,18.98,-41.814,-48.348,-18.186,-11.652,21.599
2,-60.0,-60.0,6,12.4651,35.3037,18.9312,12.7727,30.6716,18.9734,-42.137,-48.709,-17.863,-11.291,21.132
3,60.0,0.0,1,21.2425,12.5043,29.5233,21.252,12.6804,28.5183,55.67,1.858,4.33,-1.858,4.712
3,60.0,0.0,2,21.2425,12.5043,29.5233,21.2498,12.6782,28.5051,55.628,1.881,4.372,-1.881,4.76
3,60.0,0.0,3,21.2425,12.5043,29.5233,21.252,12.7354,28.4128,55.099,1.977,4.901,-1.977,5.285
3,60.0,0.0,4,21.2425,12.5043,29.5233,21.2432,12.7266,28.415,55.135,1.953,4.865,-1.953,5.243
3,60.0,0.0,5,21.2425,12.5043,29.5233,21.2476,12.7112,28.4348,55.259,1.959,4.741,-1.959,5.13
3,60.0,0.0,6,21.2425,12.5043,29.5233,21.2366,12.7441,28.3843,54.963,1.958,5.037,-1.958,5.405
