x_cmd,y_cmd,x_meas,y_meas,err_x,err_y,dist,t1_fb,t2_fb,t3_fb
-120.0,-120.0,-119.54,-119.889,-0.46,-0.111,0.473,10.1404,53.5386,23.5041
-90.0,-120.0,-90.357,-120.17,0.357,0.17,0.395,7.7673,48.3904,25.4092
-60.0,-120.0,-60.317,-120.109,0.317,0.109,0.335,6.1326,43.4575,27.98
-30.0,-120.0,-30.225,-120.194,0.225,0.194,0.297,5.1306,38.9158,31.1177
0.0,-120.0,-0.45,-120.131,0.45,0.131,0.469,4.7944,34.8179,34.7014
30.0,-120.0,29.667,-119.674,0.333,-0.326,0.467,5.1328,31.0693,38.7312
60.0,-120.0,59.524,-119.939,0.476,-0.061,0.48,6.115,28.0283,43.3081
90.0,-120.0,89.643,-119.998,0.357,-0.002,0.357,7.7476,25.4443,48.252
120.0,-120.0,119.788,-119.622,0.212,-0.378,0.433,10.1667,23.425,53.5342
120.0,-90.0,120.209,-90.212,-0.209,0.212,0.298,13.0408,18.4768,49.7241
90.0,-90.0,90.269,-90.114,-0.269,0.114,0.292,10.6414,20.4609,44.22
60.0,-90.0,60.361,-90.106,-0.361,0.106,0.376,8.989,23.1174,39.1421
30.0,-90.0,30.391,-90.173,-0.391,0.173,0.427,7.9431,26.3123,34.4268
0.0,-90.0,0.008,-90.103,-0.008,0.103,0.103,7.6443,30.1333,30.1355
-30.0,-90.0,-29.548,-90.039,-0.452,0.039,0.454,7.9783,34.3125,26.4243
-60.0,-90.0,-59.777,-89.632,-0.223,-0.368,0.43,8.9846,38.9619,23.0779
-90.0,-90.0,-89.607,-89.728,-0.393,-0.272,0.478,10.6501,44.0618,20.4653
-120.0,-90.0,-119.57,-89.901,-0.43,-0.099,0.441,13.0232,49.5703,18.4724
-120.0,-60.0,-119.717,-60.198,-0.283,0.198,0.345,16.5125,46.1997,14.1965
-90.0,-60.0,-90.237,-60.238,0.237,0.238,0.336,14.1658,40.6582,16.2598
-60.0,-60.0,-60.215,-60.312,0.215,0.312,0.379,12.4321,35.3738,18.947
-30.0,-60.0,-30.42,-59.869,0.42,-0.131,0.44,11.5137,30.5354,22.1924
0.0,-60.0,-0.112,-60.132,0.112,0.132,0.173,11.0984,26.1145,26.0837
30.0,-60.0,29.569,-59.963,0.431,-0.037,0.433,11.4785,22.3022,30.4124
60.0,-60.0,59.681,-59.881,0.319,-0.119,0.34,12.4255,18.9097,35.2046
90.0,-60.0,89.725,-59.591,0.275,-0.409,0.493,14.1746,16.1785,40.4648
120.0,-60.0,119.577,-59.955,0.423,-0.045,0.425,16.5432,14.1855,46.1558
120.0,-30.0,120.239,-30.14,-0.239,0.14,0.277,20.5642,10.4238,43.3279
90.0,-30.0,90.213,-30.212,-0.213,0.212,0.3,18.2351,12.6365,37.5798
60.0,-30.0,60.366,-30.136,-0.366,0.136,0.39,16.5784,15.3809,32.2075
30.0,-30.0,30.126,-30.292,-0.126,0.292,0.319,15.5149,18.7603,27.2021
0.0,-30.0,0.251,-30.09,-0.251,0.09,0.266,15.2314,22.678,22.7483
-30.0,-30.0,-29.7,-30.272,-0.3,0.272,0.405,15.5544,27.1736,18.8547
-60.0,-30.0,-59.752,-29.669,-0.248,-0.331,0.413,16.5872,32.0295,15.3611
-90.0,-30.0,-89.589,-29.795,-0.411,-0.205,0.46,18.2087,37.3887,12.5947
